country,iso3,year,gdp_per_capita_constant_2015_usd,population_density_per_km2,urbanization_percent,passenger_cars_per_1000,motorization_source
Italy,ITA,2023,34221.7182928271,199.459678073854,69.5381540123301,693.66,OECD/ITF
Italy,ITA,2024,34508.1235191237,,69.6047535143071,701.25,OECD/ITF
Japan,JPN,1970,14318.6588003477,281.982547041178,71.8621514888884,,
Japan,JPN,1971,14666.1228715572,288.238341968912,72.7088282579266,,
Japan,JPN,1972,15678.891945691,292.384069830878,73.678910701481,,
Japan,JPN,1973,16701.6297669361,296.527550463721,74.6313684290253,,
Japan,JPN,1974,16279.1053900856,300.496453900709,75.4106178027416,,
Japan,JPN,1975,16570.1490384468,304.428376534789,75.8511067264535,,
Japan,JPN,1976,17045.1784418847,307.708049113233,75.9718496490584,,
Japan,JPN,1977,17622.1033093596,310.786026200873,76.0333398797102,,
Japan,JPN,1978,18383.0750924035,313.627183406114,76.0764616511381,,
Japan,JPN,1979,19227.734800588,316.293668122271,76.1171567691576,,
Japan,JPN,1980,19614.2922299856,318.883428883429,76.172396260342,,
Japan,JPN,1981,20291.567958628,321.127183406114,76.2503223945228,,
Japan,JPN,1982,20818.8044337152,323.539049699618,76.3474944329034,,
Japan,JPN,1983,21402.8665366541,325.797378481704,76.4572744627542,,
Japan,JPN,1984,22221.8862508533,329.265149437894,76.5743728196347,,
Japan,JPN,1985,23238.9252243658,331.423477783873,76.6930644715793,,
Japan,JPN,1986,23884.4841642864,333.101179051275,76.81341381908,,
Japan,JPN,1987,24894.0912634322,334.80252331322,76.9402952490325,,
Japan,JPN,1988,26472.7749041278,336.198573779484,77.072111271414,,
Japan,JPN,1989,27648.0847646202,337.545255074054,77.2063887541774,,
Japan,JPN,1990,28904.7658863073,338.667032364235,77.3404178010312,,
Japan,JPN,1991,29775.391651584,340.0,77.4744816932723,,
Japan,JPN,1992,29916.6529957081,341.264399341744,77.6108029675096,,
Japan,JPN,1993,29665.3871017287,342.372462973121,77.7480283183434,,
Japan,JPN,1994,29876.454752764,343.329676357652,77.8843368177677,340.94,OECD/ITF
Japan,JPN,1995,30504.5332529005,344.136039495337,78.0190838015653,356.1,OECD/ITF
Japan,JPN,1996,31371.432405964,345.012345679012,78.1374047267253,372.69,OECD/ITF
Japan,JPN,1997,31723.3382538425,345.835390946502,78.2318902291629,385.63,OECD/ITF
Japan,JPN,1998,31076.4386626557,346.776406035665,78.3266396189341,394.74,OECD/ITF
Japan,JPN,1999,30911.9243180534,347.410150891632,78.448341899402,404.04,OECD/ITF
Japan,JPN,2000,31779.3788459032,347.991769547325,78.6126803295375,413.4,OECD/ITF
Japan,JPN,2001,31793.1269485489,348.831275720165,79.1577482060887,421.08,OECD/ITF
Japan,JPN,2002,31746.2430105713,349.643347050754,80.5469860733981,427.95,OECD/ITF
Japan,JPN,2003,32115.5810785373,350.39231824417,82.4206778416671,432.3,OECD/ITF
Japan,JPN,2004,32783.1292835489,350.510288065844,84.3710541898905,438.27,OECD/ITF
Japan,JPN,2005,33385.9179590327,350.543209876543,85.9573620483714,446.81,OECD/ITF
Japan,JPN,2006,33880.6890093456,350.765432098765,87.1460898958075,449.9,OECD/ITF
Japan,JPN,2007,34426.6937124867,351.168724279835,88.2701404492656,450.18,OECD/ITF
Japan,JPN,2008,34008.5915147362,351.338820301783,89.2921563808851,451.85,OECD/ITF
Japan,JPN,2009,31993.8588053706,351.294924554184,90.1131158718189,453.11,OECD/ITF
Japan,JPN,2010,33311.2872381879,351.358024691358,90.6228586840649,455.59,OECD/ITF
Japan,JPN,2011,33306.1802259719,350.707818930041,90.8631654434251,458.96,OECD/ITF
Japan,JPN,2012,33909.4911855243,350.148148148148,91.0265277326652,465.58,OECD/ITF
Japan,JPN,2013,34636.6924746166,349.643347050754,91.1516595654317,471.07,OECD/ITF
Japan,JPN,2014,34996.8796756631,349.179698216735,91.2548945132333,476.66,OECD/ITF
Japan,JPN,2015,35664.6446110613,348.809327846365,91.3532644103625,479.68,OECD/ITF
Japan,JPN,2016,35934.4467886662,348.631001371742,91.4541254852142,483.2,OECD/ITF
Japan,JPN,2017,36547.7357437305,348.345679012346,91.5498419685883,486.75,OECD/ITF
Japan,JPN,2018,36899.3847079435,347.903978052126,91.6377318609728,489.12,OECD/ITF
Japan,JPN,2019,36837.2583653113,347.415637860082,91.7164207898107,490.71,OECD/ITF
Japan,JPN,2020,35363.2996951789,346.395061728395,91.7809926267889,492.58,OECD/ITF
Japan,JPN,2021,36792.556429474,344.80546776406,91.8741049279527,494.62,OECD/ITF
Japan,JPN,2022,37448.3504824849,343.278433470508,91.9776532428406,496.76,OECD/ITF
Japan,JPN,2023,37902.5492204411,341.54455749932,92.0826903891473,500.5,OECD/ITF
Japan,JPN,2024,37976.6371788298,,92.1901718034531,502.69,OECD/ITF
South Korea,KOR,1970,2001.04656436772,334.240379431889,40.7085270995502,,
South Korea,KOR,1971,2170.9646968132,340.894712834335,42.3477332957849,,
South Korea,KOR,1972,2286.93666830827,347.350259174787,43.7893372123996,,
South Korea,KOR,1973,2583.31158461691,353.547055774414,45.1473735759202,,
South Korea,KOR,1974,2784.47241806545,359.65442670537,46.5094025449477,,
South Korea,KOR,1975,2955.1963902217,365.75497615592,47.9673969434303,,
South Korea,KOR,1976,3294.13497099216,371.641333195107,49.5736556126164,,
South Korea,KOR,1977,3644.59385270464,377.480769230769,51.3027034426193,,
South Korea,KOR,1978,3986.99777854343,383.259226622434,53.0955799830981,,
South Korea,KOR,1979,4270.07298916474,389.117105535973,54.8987778188484,,
South Korea,KOR,1980,4139.9606854608,395.228851337342,56.6554425515705,,
South Korea,KOR,1981,4377.64026742067,401.443582832262,58.3339941411302,,
South Korea,KOR,1982,4675.53053701243,407.695956873315,59.950566865243,,
South Korea,KOR,1983,5227.53893142287,413.750808625337,61.5442686216481,,
South Korea,KOR,1984,5712.63984757483,418.888202363674,63.149438472478,,
South Korea,KOR,1985,6105.74268983951,423.032801161103,64.7952808591987,,
South Korea,KOR,1986,6740.69941617276,427.261808003317,66.5771098057876,,
South Korea,KOR,1987,7535.12660432782,431.491706406801,68.5628466782553,,
South Korea,KOR,1988,8367.04656522944,435.737580344184,70.5877839860655,,
South Korea,KOR,1989,8878.29655251462,440.068816089571,72.4660369649545,,
South Korea,KOR,1990,9672.57845182894,444.425492432096,73.9851161168568,,
South Korea,KOR,1991,10618.8431439122,448.84619531412,75.1606018983188,,
South Korea,KOR,1992,11176.560685871,453.534750155505,76.1960694185519,,
South Korea,KOR,1993,11837.4692053797,458.165332780427,77.1082857281795,,
South Korea,KOR,1994,12817.2447824958,462.798465685258,77.8585649228147,115.34,OECD/ITF
South Korea,KOR,1995,13924.3044000347,467.478654364503,78.400437187912,133.19,OECD/ITF
South Korea,KOR,1996,14894.3278834104,471.953980924736,78.7508147919442,151.43,OECD/ITF
South Korea,KOR,1997,15682.2717905189,476.400373211694,78.9918025094803,165.08,OECD/ITF
South Korea,KOR,1998,14800.5091573641,479.851783122538,79.1812369650495,163.78,OECD/ITF
South Korea,KOR,1999,16402.9168341094,483.274694173751,79.3623394908518,168.12,OECD/ITF
South Korea,KOR,2000,17763.1353417297,487.332687124197,79.579960745642,171.97,OECD/ITF
South Korea,KOR,2001,18460.4288193829,489.664709530701,79.8787704357425,187.65,OECD/ITF
South Korea,KOR,2002,19775.3800655139,492.248538072115,80.2766294544335,204.37,OECD/ITF
